"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.391189168213492","2","0.00968625622564284","0.0147048792104855"
"2","null","null","64","0","0.523051363485061","3.8","-0.00129496659536731","0.00752972026879829"
"3","eighth","mild","32","0","0","1.4","-0.0368295267005928","0.020437876605537"
"4","eighth","mild","64","0","0","4.4","-0.55096531159245","1.68654289004796"
"5","eighth","strong","32","0","0","1.8","-0.0438505786155491","0.0140548943895722"
"6","eighth","strong","64","0","0","3.2","-0.013784856211381","0.0223155470554205"
"7","eighth","strongest","32","0.1","0","3","-0.231340406843518","0.164770793726112"
"8","eighth","strongest","64","0.4","0","9","-0.0226786927729055","0.0476929731669748"
"9","half","mild","32","0","0","0.4","-0.0430828868975899","0.0170346513884746"
"10","half","mild","64","0.1","0","4.8","0.0360916317098105","0.0243043239093077"
"11","half","strong","32","0","0","0.8","-0.000783722000406811","0.0197442263085133"
"12","half","strong","64","0.6","0","6.2","0.13281541027801","0.0266044651754248"
"13","half","strongest","32","0.7","0","9.6","-0.395200011783854","1.31953391176573"
"14","half","strongest","64","0.9","0","11.2","0.243614017065051","0.0434938702489948"
