"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.391189168213492","2","0.00968625622564284","0.0147048792104855"
"2","null","null","64","0","0.523051363485061","3.8","-0.00129496659536731","0.00752972026879829"
"3","eighth","mild","32","0","0","2","-0.0117177960958776","0.0178366808899174"
"4","eighth","mild","64","0","0","4","0.00113548682077986","0.0252403082440737"
"5","eighth","strong","32","0","0","1.6","-0.0122017041034296","0.0151006707580264"
"6","eighth","strong","64","0","0","3.8","0.0236597915037405","0.0189193383736257"
"7","eighth","strongest","32","0","0","2.22222222222222","-0.157981927556629","0.129823867194485"
"8","eighth","strongest","64","0","0","4.6","0.0449861819120168","0.0306026058074866"
"9","half","mild","32","0","0","2.8","0.0611402005462775","0.0137962860310444"
"10","half","mild","64","0","0","4.4","0.0732633291579123","0.0255956858692632"
"11","half","strong","32","0","0","2.4","0.110583267666839","0.0143516007909974"
"12","half","strong","64","0","0","7","0.175096524175689","0.0211673625369123"
"13","half","strongest","32","0","0","6.2","0.0516200861283565","0.0882370170537217"
"14","half","strongest","64","0","0","9.6","-1.52290135730221","5.58233250703117"
