"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.418300478978568","2","0.0119438859878222","0.0108218746016167"
"2","null","null","64","0","0.545523638250822","3","-0.00374341026703561","0.006925663286118"
"3","eighth","mild","32","0","0","2","-0.0307500674292406","0.0203818520446105"
"4","eighth","mild","64","0","0","4","-0.0180411162710368","0.0290688428904366"
"5","eighth","strong","32","0","0","2","-0.0412703385855782","0.0143142621385929"
"6","eighth","strong","64","0","0","3","-0.0133270302293186","0.0237830225275685"
"7","eighth","strongest","32","0","0","2","-0.256230863192528","0.119092614502399"
"8","eighth","strongest","64","0","0","9","-8.76608103678352e-05","0.0301006917489929"
"9","half","mild","32","0","0","0","-0.0439714110314793","0.0214591182996184"
"10","half","mild","64","0","0","4","0.03697002858003","0.015947504920295"
"11","half","strong","32","0","0","0","0.00255041417490248","0.0145163709698471"
"12","half","strong","64","1","0","6","0.133599064021426","0.027528181840837"
"13","half","strongest","32","1","0","11","-0.00898780240811533","0.0644590167818496"
"14","half","strongest","64","1","0","12","0.242669014077774","0.0480598488094644"
