"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.418300478978568","2","0.0119438859878222","0.0108218746016167"
"2","null","null","64","0","0.545523638250822","3","-0.00374341026703561","0.006925663286118"
"3","eighth","mild","32","0","0","2","-0.00862689513489717","0.0147570002291331"
"4","eighth","mild","64","0","0","4","0.00342019332961221","0.0305417737157005"
"5","eighth","strong","32","0","0","1","-0.0159186612257919","0.014108129983498"
"6","eighth","strong","64","0","0","4","0.0287940814693085","0.0154223416895133"
"7","eighth","strongest","32","0","0","2","-0.214237834241294","0.135677111481859"
"8","eighth","strongest","64","0","0","4","0.0342099504209869","0.0257624432892316"
"9","half","mild","32","0","0","3","0.0622490820630944","0.0167435900409817"
"10","half","mild","64","0","0","4","0.0776494418762528","0.0295444311195287"
"11","half","strong","32","0","0","1","0.109518703959635","0.0129797999145721"
"12","half","strong","64","0","0","8","0.17656591912973","0.0226305333515228"
"13","half","strongest","32","0","0","4","0.0518202513993719","0.0896044765730694"
"14","half","strongest","64","0","0","7","0.229572187538643","0.0204481606199552"
