"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.743069448471853","0","-0.00648653705459734","0.0158105858415155"
"2","null","null","64","0","0.3713935383378","1","0.00660486289720127","0.0130645059874446"
"3","eighth","mild","32","0","0.000168547316607259","0","-0.019576021193203","0.00516216029862507"
"4","eighth","mild","64","0","0","1","-0.0530096306351297","0.0125749849818101"
"5","eighth","strong","32","0","1.39826483724903e-09","0","-0.0188613820674672","0.0147150776993079"
"6","eighth","strong","64","0","0","0","-0.0785262911929744","0.0207823262480784"
"7","eighth","strongest","32","0","0","0","-0.250405077382468","0.0542423115824784"
"8","eighth","strongest","64","0","0","2","-0.15626299649999","0.014751168697697"
"9","half","mild","32","0","0","0","-0.249717846898353","0.00907890252933259"
"10","half","mild","64","0","0","1","-0.220006524428675","0.0221607006073953"
"11","half","strong","32","0","0","0","-0.356506704552416","0.0368831271265982"
"12","half","strong","64","0","0","1","-0.314017304390197","0.048413411975355"
"13","half","strongest","32","0","0","2","-0.698873707828494","0.0521611001253196"
"14","half","strongest","64","0","0","3","-0.525160084308831","0.087400077087286"
